medio,puntuacion,comentario,indice_ia,comentario_traducida
Game Forces PT,85.0,"Red Dead Redemption is a masterpiece of the open world genre that combines deep storytelling with an immersive, detailed world.  The game not only offers an experience rich in action and adventure but also a strong reflection on the choices we make and their consequences.  A title that I recommend to all players, and a clear milestone in the development of modern games. The sequel (which is actually a prequel) Red Dead Redemption 2 is an excellent example of this evolution. Play!",3,Red Dead Redemption es una obra maestra del género de mundo abierto que combina una narración profunda con un mundo inmersivo y detallado.  El juego no sólo ofrece una experiencia rica en acción y aventuras sino también una fuerte reflexión sobre las decisiones que tomamos y sus consecuencias.  Un título que recomiendo a todos los jugadores y un claro hito en el desarrollo de los juegos modernos. La secuela (que en realidad es una precuela) Red Dead Redemption 2 es un excelente ejemplo de esta evolución. ¡Jugar!
BaziCenter,85.0,"After 14 years of its initial release on consoles, Red Dead Redemption has finally arrived on PC, and it's still relevant! And if it weren't for Red Dead Redemption 2, it would have been the best Western Action Adventure experience on the market. That's how good RDR was and still is, and that's how any developer should design their games.",3,"Después de 14 años de su lanzamiento inicial en consolas, Red Dead Redemption finalmente llegó a PC, ¡y sigue siendo relevante! Y si no fuera por Red Dead Redemption 2, habría sido la mejor experiencia de acción y aventuras del Oeste del mercado. Así de bueno era y sigue siendo RDR, y así es como cualquier desarrollador debería diseñar sus juegos."
Nintendo Blast,85.0,"Red Dead Redemption has a memorable story, iconic characters and a gameplay that left a mark for a golden age of action adventures and for Rockstar, who managed to spread their wings beyond the shadow of Grand Theft Auto. Its influence lasts to these days, as I am here, 13 years later, talking about its Switch port; thus, if you have any reservation about experiencing this modern classic, I recommend at least giving it a chance. Who knows if you won't get so excited that you will also jump into Red Dead Redemption 2 (if you haven't yet)?",3,"Red Dead Redemption tiene una historia memorable, personajes icónicos y una jugabilidad que dejó huella en una época dorada de las aventuras de acción y de Rockstar, quienes lograron extender sus alas más allá de la sombra de Grand Theft Auto. Su influencia perdura hasta estos días, ya que estoy aquí, 13 años después, hablando de su puerto Switch; por lo tanto, si tienes dudas sobre experimentar este clásico moderno, te recomiendo que al menos le des una oportunidad. ¿Quién sabe si no te emocionarás tanto que también saltarás a Red Dead Redemption 2 (si aún no lo has hecho)?"
STWGames Italia,85.0,"Released nearly 15 years ago, Red Dead Redemption continues to hold significant influence over the gaming industry, remaining a legendary work that defies the test of time. This long-awaited PC edition offers little more than the essentials to fully enjoy the original experience, though it still suffers from some technical issues that we hope will be addressed over time.",5,"Lanzado hace casi 15 años, Red Dead Redemption continúa teniendo una influencia significativa en la industria del juego y sigue siendo un trabajo legendario que desafía la prueba del tiempo. Esta tan esperada edición para PC ofrece poco más que lo esencial para disfrutar plenamente de la experiencia original, aunque todavía sufre algunos problemas técnicos que esperamos se solucionen con el tiempo."
EmuGlx.org,85.0,"Looking at the big picture, Red Dead Redemption has received a high-quality PC port that, aside from its steep price, leaves little to criticize. The game remains engaging and is well worth trying if you’ve never experienced this title on a console before.",5,"Mirando el panorama general, Red Dead Redemption ha recibido un port para PC de alta calidad que, aparte de su elevado precio, deja poco que criticar. El juego sigue siendo atractivo y vale la pena probarlo si nunca antes has experimentado este título en una consola."
NintendoBoy,85.0,"Red Dead Redemption is a game marked by an excellent narrative and sensational dialogues (the introductory scene is a show in itself). However, the somewhat high price tag may put off curious people, after all, it is a 2010 title and it is neither The Legend of Zelda nor Mario, to encourage owners of Nintendo's console to pay full price for it. But, for everything that Red Dead Redemption was and continues to be, if you do, you won't regret it. The title is a great addition to the excellent catalog of games on the phenomenon called Nintendo Switch.",5,"Red Dead Redemption es un juego marcado por una excelente narrativa y unos diálogos sensacionales (la escena introductoria es un espectáculo en sí misma). Sin embargo, el precio algo elevado puede desanimar a los curiosos, después de todo, es un título de 2010 y no es ni The Legend of Zelda ni Mario, para animar a los propietarios de la consola de Nintendo a pagar el precio completo por él. Pero, por todo lo que fue y sigue siendo Red Dead Redemption, si lo haces, no te arrepentirás. El título es una gran incorporación al excelente catálogo de juegos del fenómeno llamado Nintendo Switch."
Game8,84.0,"Red Dead Redemption remains a landmark title. The Switch 2 port improves presentation and performance without changing the game’s core design, letting the world, story, and gameplay shine like they were always meant to. Minor signs of aging exist, but they don’t take away from the experience. This version stands as a definitive way to experience a classic, delivering everything that made the original great while running smoother and looking sharper than ever.",5,"Red Dead Redemption sigue siendo un título histórico. El port Switch 2 mejora la presentación y el rendimiento sin cambiar el diseño central del juego, permitiendo que el mundo, la historia y la jugabilidad brillen como siempre debieron hacerlo. Existen signos menores de envejecimiento, pero no quitan la experiencia. Esta versión es una forma definitiva de experimentar un clásico, brindando todo lo que hizo grandioso al original mientras funciona de manera más fluida y luce más nítida que nunca."
COGconnected,84.0,"Red Dead Redemption is an exceptional game that manages to capture the spirit of the Wild West. The incredible sound design and enthralling narrative are highlights of the adventure. Although it runs perfectly well on the Switch, the lack of an online mode and no additional content is disappointing. The high price point is contentious, however, this is an exquisite open-world adventure that shows Rockstar at its finest.",5,"Red Dead Redemption es un juego excepcional que consigue capturar el espíritu del Salvaje Oeste. El increíble diseño de sonido y la apasionante narrativa son los aspectos más destacados de la aventura. Aunque funciona perfectamente bien en Switch, la falta de un modo en línea y de contenido adicional es decepcionante. El alto precio es polémico, sin embargo, esta es una exquisita aventura de mundo abierto que muestra a Rockstar en su máxima expresión."
Pizza Fria,84.0,"Red Dead Redemption for PC is a golden opportunity to relive one of gaming's greatest classics. Its powerful narrative, engaging gameplay, and vibrant Wild West world continue to captivate, even 14 years after its original release.",7,"Red Dead Redemption para PC es una oportunidad de oro para revivir uno de los grandes clásicos de los juegos. Su poderosa narrativa, su atractiva jugabilidad y su vibrante mundo del Lejano Oeste continúan cautivando, incluso 14 años después de su lanzamiento original."
Evilgamerz,80.0,"If you have never played Red Dead Redemption, it is about time! There is enough to note graphically, but we have to take into account that this is a game from 2010. Bringing it to a 2024 standard is quite a challenge, I can understand. So don't expect Horizon Zero Dawn Remaster quality, because the base game is simply a lot older in that respect. The gameplay and content are still rock solid, although it feels a bit dated here and there. The running, the jumping, the physics, it all feels and looks a bit like you are playing Grand Theft Auto III. But if you're looking for a game that simply plays well, has a good story and looks acceptable enough for this day and age, then Red Dead Redemption for PC, including the expansion, will keep you going and will allow you to relive many Western influences.",3,"Si nunca has jugado a Red Dead Redemption, ¡ya era hora! Hay bastante que destacar gráficamente, pero tenemos que tener en cuenta que este es un juego de 2010. Llevarlo a un estándar de 2024 es todo un desafío, lo puedo entender. Así que no esperes calidad de Horizon Zero Dawn Remaster, porque el juego base es simplemente mucho más antiguo en ese sentido. La jugabilidad y el contenido siguen siendo sólidos, aunque parece un poco anticuado aquí y allá. La carrera, los saltos, la física, todo se siente y parece como si estuvieras jugando Grand Theft Auto III. Pero si estás buscando un juego que simplemente se juegue bien, tenga una buena historia y parezca lo suficientemente aceptable para estos tiempos, entonces Red Dead Redemption para PC, incluida la expansión, te mantendrá activo y te permitirá revivir muchas influencias occidentales."
Uagna,80.0,"The porting of Red Dead Redemption is finally available on PC! For many gamers, the arrival of John Marston's adventures represents the capture of the mythical white whale, and just as many had given up hope that the Rockstar western would finally land on computer. It's a pity about the launch price, as the €50 charged for a 14-year-old game would have been better justified against a more substantial restoration work. Nevertheless, we can finally enjoy one of the great masterpieces of gaming history on PC, and this is the most important news.The porting of Red Dead Redemption is finally available on PC! For many gamers, the arrival of John Marston's adventures represents the capture of the mythical white whale, and just as many had given up hope that Rockstar's western would finally land on computer. It's a pity about the launch price, as the €50 charged for a 14-year-old game would have been better justified against a more substantial restoration work. Nevertheless, we can finally enjoy one of the great masterpieces of video game history on PC, and this is the most important news.",3,"¡La portabilidad de Red Dead Redemption finalmente está disponible para PC! Para muchos jugadores, la llegada de las aventuras de John Marston representa la captura de la mítica ballena blanca, y otros tantos habían perdido la esperanza de que el western de Rockstar aterrizara finalmente en ordenador. Es una lástima el precio de lanzamiento, ya que los 50 € cobrados por un juego de hace 14 años se habrían justificado mejor frente a un trabajo de restauración más sustancial. Sin embargo, finalmente podemos disfrutar de una de las grandes obras maestras de la historia de los videojuegos en PC, y esta es la noticia más importante. ¡La portabilidad de Red Dead Redemption finalmente está disponible para PC! Para muchos jugadores, la llegada de las aventuras de John Marston representa la captura de la mítica ballena blanca, y otros tantos habían perdido la esperanza de que el western de Rockstar aterrizara finalmente en ordenador. Es una lástima el precio de lanzamiento, ya que los 50 € cobrados por un juego de hace 14 años se habrían justificado mejor frente a un trabajo de restauración más sustancial. Sin embargo, por fin podemos disfrutar de una de las grandes obras maestras de la historia del videojuego en PC, y esta es la noticia más importante."
Echo Boomer,80.0,"Red Dead Redemption finally arrives on PC, offering the option to play in ""Ultra HD"" without compromises.",4,"Red Dead Redemption finalmente llega a PC, ofreciendo la opción de jugar en ""Ultra HD"" sin compromisos."
TestingBuddies,80.0,"At first glance, the 50 euros charged for the PC port of Red Dead Redemption is a hefty price for a 14-year-old game that only offers a few visual and technical improvements over the original version. If you don't know the original, you should definitely pick it up - Red Dead Redemption is an absolute highlight of gaming history that still entertains today with its gripping story, unusual characters and inimitable humor. The atmosphere that the game introduces into the virtual western world is incomparable and even if the technology has fallen behind current standards, the experience still manages to captivate the player. So if you have a soft spot for well-told, atmospheric open-world games, you will definitely get your money's worth here. For those who have already played the game on the console, however, the purchase is less recommendable. The improvements in the PC version, such as the higher resolution and smoother performance, only justify the price for a few. However, if you have never experienced the vastness of the Wild West in Red Dead Redemption, then there is hardly a better time to catch up. The Undead Nightmare expansion also brings a breath of fresh air to the game and provides additional hours of entertaining adventures. In this respect, the price for newcomers is entirely justified, as this is a classic that still knows how to impress.",5,"A primera vista, los 50 euros que se cobran por la versión para PC de Red Dead Redemption son un precio elevado para un juego de hace 14 años que sólo ofrece algunas mejoras visuales y técnicas con respecto a la versión original. Si no conoces el original, definitivamente deberías adquirirlo: Red Dead Redemption es un punto culminante absoluto de la historia de los videojuegos que aún hoy entretiene con su apasionante historia, personajes inusuales y su humor inimitable. La atmósfera que el juego introduce en el mundo occidental virtual es incomparable e incluso si la tecnología se ha quedado atrás de los estándares actuales, la experiencia aún logra cautivar al jugador. Entonces, si tienes debilidad por los juegos de mundo abierto atmosféricos y bien contados, definitivamente obtendrás el valor de tu dinero aquí. Sin embargo, para aquellos que ya han jugado en la consola, la compra es menos recomendable. Las mejoras en la versión para PC, como una mayor resolución y un rendimiento más fluido, sólo justifican el precio por unos pocos. Sin embargo, si nunca has experimentado la inmensidad del Salvaje Oeste en Red Dead Redemption, entonces no hay mejor momento para ponerte al día. La expansión Undead Nightmare también aporta un soplo de aire fresco al juego y proporciona horas adicionales de entretenidas aventuras. En este sentido, el precio para los recién llegados está totalmente justificado, ya que se trata de un clásico que todavía sabe impresionar."
SpaceNerd.it,80.0,"Red Dead Redemption, many years later, is still a wonder to play and explore. Despite making zero changes to its gameplay, apart from the much appreciated inclusion of the Undead Nightmare DLC, Rockstar successfully manages to bring back the good old memories of this exceptional game thanks to a very stable port, giving everyone the chance to experience the tale of John Marston.",5,"Red Dead Redemption, muchos años después, sigue siendo una maravilla para jugar y explorar. A pesar de no realizar ningún cambio en su modo de juego, aparte de la muy apreciada inclusión del DLC Undead Nightmare, Rockstar logra recuperar los viejos recuerdos de este juego excepcional gracias a un puerto muy estable, que brinda a todos la oportunidad de experimentar la historia de John Marston."
GameOnly,80.0,"Red Dead Redemption on PC is the best edition of John Marston's adventures one can play. In terms of music and story — excellent, graphically it falls short compared to modern titles, but in terms of gameplay, it remains exceptionally enjoyable. It's a brilliant western, causing both bursts of laughter and tears, while also skillfully addressing many issues like racism, immigration, and human rights. A beautiful, personal story in the Wild West that's slowly getting more civilized.",5,"Red Dead Redemption para PC es la mejor edición de las aventuras de John Marston que uno puede jugar. En términos de música e historia, excelente, gráficamente se queda corto en comparación con los títulos modernos, pero en términos de jugabilidad, sigue siendo excepcionalmente divertido. Es un western brillante, que provoca carcajadas y lágrimas, y al mismo tiempo aborda hábilmente muchos temas como el racismo, la inmigración y los derechos humanos. Una historia hermosa y personal en el Salvaje Oeste que poco a poco se está volviendo más civilizado."
Gamepressure,80.0,"Red Dead Redemption is an amazing experience and is one of those games that defined a generation of open-world titles where movie-level storytelling weaved into the action you got to control. If you’ve already played it, you won’t miss anything, but if you were looking for an excuse to see what the hype was all about, wait for a sale first.",5,"Red Dead Redemption es una experiencia increíble y es uno de esos juegos que definió una generación de títulos de mundo abierto donde la narración a nivel de película se entrelazaba con la acción que podías controlar. Si ya lo jugaste, no te perderás nada, pero si estabas buscando una excusa para ver de qué se trataba todo el revuelo, espera primero a una oferta."
Niche Gamer,80.0,"Although the sluggish gameplay and unresponsive action have always been open to question, with the right mindset, it’s possible to adapt to its crap-factor. It’s worth acclimating to them because Red Dead Redemption is more than the sum of its parts.",5,"Aunque la jugabilidad lenta y la acción que no responde siempre han sido cuestionables, con la mentalidad adecuada, es posible adaptarse a su factor de basura. Vale la pena aclimatarse a ellos porque Red Dead Redemption es más que la suma de sus partes."
NookGaming,80.0,"Red Dead Redemption is hailed as one of the best games ever made, as is its sequel, and this is a strong reminder as to why. It's aged brilliantly and is easily a game I would suggest everyone needs to play. Sadly, the lack of multiplayer and the higher price tag do seem to be sticking points for some. But with the sheer amount of content and quality, it still offers fair value for an unmissable gaming experience.",5,"Red Dead Redemption es aclamado como uno de los mejores juegos jamás creados, al igual que su secuela, y este es un fuerte recordatorio de por qué. Ha envejecido brillantemente y es fácilmente un juego que sugeriría que todos deberían jugar. Lamentablemente, la falta de modo multijugador y el precio más alto parecen ser puntos conflictivos para algunos. Pero con la gran cantidad de contenido y calidad, todavía ofrece un valor razonable para una experiencia de juego imperdible."
Hey Poor Player,80.0,"Red Dead Redemption on Switch is a mostly fine port of a great game. If you’ve been dying to replay it or haven’t checked it out before, you should absolutely do so, but those who have already fully explored the old west won’t find anything new here or much reason to buy it again outside of the handheld factor. For some, though, that will be all the incentive they need.",5,"Red Dead Redemption en Switch es una buena adaptación de un gran juego. Si te mueres por volver a jugarlo o no lo has visto antes, deberías hacerlo, pero aquellos que ya hayan explorado por completo el viejo oeste no encontrarán nada nuevo aquí ni muchas razones para comprarlo nuevamente fuera del factor portátil. Para algunos, sin embargo, ese será todo el incentivo que necesitan."
IGN Spain,80.0,"Red Dead Redemption is really enjoyable on PS4 and Nintendo Switch. After thirteen years, the Rockstar classic holds up like no other, and these adjustments are more than enough for a very satisfying experience. Many of us would have liked something more, but for both nostalgic and new fans of the saga, this port is a fantastic opportunity to get into the boots of John Marston.",5,"Red Dead Redemption es realmente divertido en PS4 y Nintendo Switch. Después de trece años, el clásico de Rockstar se mantiene como ningún otro, y estos ajustes son más que suficientes para una experiencia muy satisfactoria. A muchos de nosotros nos hubiera gustado algo más, pero tanto para los nostálgicos como para los nuevos fans de la saga, este port es una oportunidad fantástica para ponerse en la piel de John Marston."
Nintendo Life,80.0,"Red Dead Redemption on Switch is a straightforward port of 2010's masterpiece with no added bells or whistles for a rather high price tag. If you can get over that, this is a game we highly recommend digging into, especially if you've yet to experience it. Rockstar's Western epic holds up surprisingly well, its story is as powerful as ever, its knockabout action still feels great, and it looks and plays perfectly well on Nintendo's console. Multiplayer has been cut, which is a sore but understandable excision, and we'd really have liked to see effort put into adding gyro controls or touching up the graphics a little, but it is what it is. This is a proper all-timer ported successfully to Switch and, if you can stump up the cash, you'll have a great time here regardless of the lack of TLC.",5,"Red Dead Redemption en Switch es una adaptación sencilla de la obra maestra de 2010 sin campanas ni silbidos adicionales por un precio bastante alto. Si puedes superar eso, este es un juego que recomendamos encarecidamente profundizar, especialmente si aún no lo has experimentado. La epopeya occidental de Rockstar se mantiene sorprendentemente bien, su historia es tan poderosa como siempre, su acción trepidante todavía se siente genial y se ve y se juega perfectamente bien en la consola de Nintendo. Se ha eliminado el modo multijugador, lo cual es una eliminación dolorosa pero comprensible, y realmente nos hubiera gustado que se hiciera un esfuerzo para agregar controles giroscópicos o retocar un poco los gráficos, pero es lo que es. Este es un verdadero juego de todos los tiempos adaptado con éxito a Switch y, si puedes gastar el dinero, te lo pasarás genial aquí independientemente de la falta de TLC."
IGN Spain,80.0,"Red Dead Redemption is an exceptional game, and its PC port more than delivers, offering a well-optimized experience even for less powerful devices. Even so, it is missing some substantial additions or improvements after so many years of waiting.",7,"Red Dead Redemption es un juego excepcional y su versión para PC lo cumple con creces, ya que ofrece una experiencia bien optimizada incluso para dispositivos menos potentes. Aun así, se echan en falta algunos añadidos o mejoras sustanciales tras tantos años de espera."
The Games Machine,80.0,"Finally, after fourteen years, Red Dead Redemption also arrives on PC. The title has aged very well, unfortunately this conversion brings with it countless technical problems.",7,"Por fin, después de catorce años, Red Dead Redemption también llega a PC. El título ha envejecido muy bien, lamentablemente esta conversión trae consigo innumerables problemas técnicos."
SECTOR.sk,80.0,"This cult western has long been absent from the PC, although its sequel was released a few years ago. Rockstar has finally released it on this platform, but with outdated graphics and a high price tag.",7,"Este western de culto lleva mucho tiempo ausente del PC, aunque su secuela se estrenó hace unos años. Rockstar finalmente lo lanzó en esta plataforma, pero con gráficos obsoletos y un precio elevado."
GameMAG,80.0,The silver lining here is that now the game is finally freed from the cage of old hardware. And that's a great thing.,7,El lado positivo aquí es que ahora el juego finalmente se ha liberado de la jaula del hardware antiguo. Y eso es algo grandioso.
SomHráč.sk,80.0,"Red Dead Redemption is an excellent game in a bit of a lazy repackaging. If you haven't played it yet, go right ahead, but otherwise, there's not much for you here.",7,"Red Dead Redemption es un juego excelente con un reenvasado un poco perezoso. Si aún no lo has jugado, adelante, pero por lo demás, no hay mucho para ti aquí."
Cultured Vultures,80.0,Red Dead Redemption on the Switch is the exact same Western epic you know and love. That's both its greatest strength and its greatest weakness.,7,Red Dead Redemption en Switch es exactamente la misma epopeya occidental que conoces y amas. Ésa es a la vez su mayor fortaleza y su mayor debilidad.
Digital Chumps,77.0,"It's nothing special to groundbreaking to write home on. There isn't any new story additions, but I do think it's a great game to pick up if you want to roam what is left of the untamed west while you still can.",7,"No es nada especial o innovador para destacar. No hay nuevas adiciones a la historia, pero creo que es un gran juego para aprender si quieres vagar por lo que queda del oeste salvaje mientras puedas."
Entertainium,75.0,"Red Dead Redemption has certainly aged like a fine wine, still retaining its satisfying gameplay and an enormous, gorgeous wild west to explore.",4,"Red Dead Redemption ciertamente ha envejecido como un buen vino, aún conserva su juego satisfactorio y un enorme y hermoso salvaje oeste para explorar."
PSX Brasil,75.0,"In its original form, Red Dead Redemption is nearly perfect in all its key aspects, such as narrative, gameplay, and artistic concept. The 2023 PS4 remaster was timid in updating definition and performance, but did enough to introduce it to a new generation and fill a gap for longtime fans. All of this is now confirmed by the native PlayStation 5 version, with its 4K at 60fps with HDR, things that seem like little - and in a way, they are - but which at least offer the most solid, beautiful, and stable experience possible for one of the greatest classics in gaming history.",5,"En su forma original, Red Dead Redemption es casi perfecto en todos sus aspectos clave, como la narrativa, la jugabilidad y el concepto artístico. La remasterización de PS4 de 2023 fue tímida a la hora de actualizar la definición y el rendimiento, pero hizo lo suficiente para presentarla a una nueva generación y llenar un vacío para los fanáticos de toda la vida. Todo ello lo confirma ahora la versión nativa de PlayStation 5, con su 4K a 60fps con HDR, cosas que parecen poco -y en cierto modo lo son- pero que al menos ofrecen la experiencia más sólida, bonita y estable posible para uno de los grandes clásicos de la historia de los videojuegos."
